d6148fd,us579,2 minutes ago,final
f37926a,us579,8 hours ago,add test09
3a853e9,us579,8 hours ago,modify test04
bb9af96,us579,8 hours ago,modify test04
54253a8,us579,9 hours ago,add test09
966e48d,us579,11 hours ago,add test04
b5f085c,us579,11 hours ago,add test08
ef04956,us579,11 hours ago,add test08
b56885c,us579,13 hours ago,add test07
ebbbb6f,us579,13 hours ago,add test07
b2e26df,us579,13 hours ago,add test07
5e72a88,z5137189,16 hours ago,commit
83df82c,us579,16 hours ago,add test06
a8451e5,us579,16 hours ago,add test06
f5522c6,us579,16 hours ago,add test06
b8b8226,us579,16 hours ago,add test06
2754343,us579,16 hours ago,add test06
7b68c9b,us579,17 hours ago,add comment legit status
51e271a,us579,17 hours ago,add comment legit status
98b13c2,us579,17 hours ago,fix legit-status: error: your repository does not have any commits yet
57adb09,us579,17 hours ago,fix legit-status: error: your repository does not have any commits yet
64ca2c4,us579,18 hours ago,modify legit-status
9d6f141,us579,18 hours ago,Merge branch 'master' of https://github.com/US579/COMP9044-19T2
e9bc42c,us579,18 hours ago,test02 indent fixed
c2c77c5,z5137189,18 hours ago,commit
3084103,us579,18 hours ago,change to dash
c13b47d,us579,18 hours ago,add test05.sh and add author
f44e746,us579,19 hours ago,add test05.sh
72b4bcd,us579,19 hours ago,add test05.sh
5004a27,us579,22 hours ago,add lab exercise5
dc7d135,us579,22 hours ago,add lab exercise5
445c5f1,us579,22 hours ago,add lab exercise5
82bdfb3,us579,22 hours ago,add lab exercise5
3c7cce0,us579,22 hours ago,add lab exercise5
3e34325,us579,23 hours ago,add lab exercise5
4bbfd62,us579,23 hours ago,add lab exercise5
950a445,us579,23 hours ago,add lab exercise5
f1b34b2,us579,23 hours ago,add lab exercise5
f8285f7,us579,23 hours ago,add lab exercise5
eb90b0a,us579,31 hours ago,add test03
d36aa79,us579,31 hours ago,add test03
aadf3dc,us579,31 hours ago,add test03
4b24175,us579,31 hours ago,add test03
b192729,us579,31 hours ago,add test03
5a26a8a,us579,31 hours ago,add test03
1356510,us579,31 hours ago,add test03
c9a263c,us579,32 hours ago,add test02
9db73e3,us579,33 hours ago,add test02
c89dd91,us579,33 hours ago,add test02
43823dd,us579,33 hours ago,modify legit-log
5deddef,us579,33 hours ago,modify legit-log
52e0a91,us579,33 hours ago,modify legit-log
9e6d24a,us579,33 hours ago,modify legit-log
4127626,us579,34 hours ago,modify legit-commit
b003066,us579,34 hours ago,modify legit-commit
745bf99,us579,35 hours ago,add test00
8d6deec,us579,35 hours ago,add test00
4e99cdd,us579,35 hours ago,add test00
02df319,us579,35 hours ago,add test00
55acc30,us579,35 hours ago,add test00
93b3571,us579,35 hours ago,modify legit-add
cf2bc2e,us579,2 days ago,modify legit-add
d6c44ac,us579,2 days ago,modify legit-add
5adbb0c,us579,2 days ago,add test00
09f22e7,us579,2 days ago,add test00
debebdf,us579,2 days ago,add test00
9887b0b,us579,2 days ago,add test00
9975c73,us579,2 days ago,add lab exercise5
47aa370,us579,2 days ago,finish execise4
3705226,z5137189,2 days ago,commit
e7fe5dc,us579,2 days ago,finish execise3
b4ac3ec,us579,2 days ago,finish execise2
34fa068,us579,2 days ago,finish execise2
cbe9516,z5137189,2 days ago,commit
9f8f6bc,us579,2 days ago,finish execise1
79bd30b,z5137189,2 days ago,commit
6dd37e7,us579,2 days ago,add test00
6c66ab2,z5137189,2 days ago,commit
04239a6,us579,2 days ago,Merge branch 'master' of https://github.com/US579/COMP9044-19T2
17e7c8f,us579,2 days ago,add test00
65d6391,z5137189,2 days ago,commit
68bd0d4,us579,2 days ago,add test00
c4bd28f,us579,3 days ago,add lab6
245cdc1,us579,6 days ago,add weekly test
157b08e,z5137189,6 days ago,commit
d34d7ea,us579,6 days ago,add weekly test
6b97dca,z5137189,7 days ago,commit
593896f,us579,7 days ago,add weekly test
8ebf4a9,us579,7 days ago,add weekly test
86b33dd,z5137189,7 days ago,commit
00ca4e2,us579,7 days ago,add weekly test
25e32a9,us579,7 days ago,add weekly test
e18a574,us579,8 days ago,Merge branch 'master' of https://github.com/US579/COMP9044-19T2
452a55f,us579,8 days ago,add sort keys hash slice
0487ad2,z5137189,8 days ago,commit
fd552ef,us579,8 days ago,add more comment for legit-checkout
d2da6dc,us579,8 days ago,add comment
7b6cbdb,us579,8 days ago,add legit-merge
ef1e3f5,us579,8 days ago,finish legit checkout
9328bb5,us579,8 days ago,debugging checkout
24129dd,us579,8 days ago,debugging checkout
33bc981,us579,8 days ago,debugging checkout
37b377c,us579,8 days ago,debugging checkout
500893c,us579,9 days ago,debugging checkout
7c3e43a,us579,9 days ago,debugging checkout
2a49db5,us579,9 days ago,debugging checkout
6a6d8ee,us579,9 days ago,debugging checkout
0c5412b,us579,9 days ago,add week05 lab challenge
246a309,us579,9 days ago,debugging checkout
d5a272c,us579,9 days ago,debugging checkout
6d173c7,us579,9 days ago,debugging checkout
5327ed7,us579,9 days ago,add week05 lab challenge
8895d20,us579,9 days ago,add week05 lab challenge
9abddd6,us579,9 days ago,add week05 lab challenge
9306b16,us579,9 days ago,bug MISSING FILES:: these files were not present and should have been: a
62dc9ff,us579,9 days ago,finish legit checkout
bfaf7b5,us579,9 days ago,debugging checkout
e04854d,us579,9 days ago,week05 tutorial
acde935,us579,9 days ago,week05 tutorial
f73e8cd,us579,9 days ago,add week05 lab exercise4
145e784,us579,9 days ago,add week05 lab exercise4
b9ab730,us579,9 days ago,add week05 lab exercise3
545966b,us579,9 days ago,add week05 lab exercise3
d7e4568,us579,9 days ago,add week05 lab exercise3
79c1e64,us579,9 days ago,add week05 lab exercise3
2e16c4c,us579,9 days ago,add week05 lab exercise3
e917e6e,us579,9 days ago,add week05 lab exercise2 max function
6c5ef6c,us579,9 days ago,add week05 lab exercise2 max function
849eb26,us579,10 days ago,add week05 lab exercise2
2d2d025,us579,10 days ago,add week05 lab exercise2
2170a5c,z5137189,10 days ago,commit
f30e678,us579,10 days ago,add week05 lab exercise1
e4d03d0,us579,10 days ago,add week05 lab exercise1
79f06a5,us579,10 days ago,add week05 lab exercise1
46fead4,us579,10 days ago,add week05 lab exercise1
347e742,us579,10 days ago,add week05 lab exercise1
864ce74,us579,10 days ago,add week05 lab
8c953a1,us579,10 days ago,test legit-checkout
8d0a189,us579,10 days ago,test legit-checkout
a7ce990,us579,10 days ago,test legit-checkout
46c3483,us579,10 days ago,test legit-checkout
7cf9f4b,us579,10 days ago,test legit-checkout
8825cdc,us579,10 days ago,test legit-checkout
ad03c77,us579,10 days ago,fix inconsistency of branch name in HEAD
7ea84de,us579,10 days ago,change legit-commit suitable for recording commit when change branch
641301e,us579,10 days ago,change legit-commit suitable for recording commit when change branch
c514754,us579,10 days ago,test legit-checkout
c4b422a,us579,10 days ago,test legit-checkout
ab440a4,us579,10 days ago,fix bug legit-branch: error: branch b1 already exists
67b33af,us579,10 days ago,fix legit-branch write commit to the Branch.
e26ddba,us579,10 days ago,legit-checkout debugging Use of uninitialized value
6e6b9cc,us579,10 days ago,legit-checkout debugging Use of uninitialized value
1c89f7b,us579,10 days ago,legit-checkout debugging Use of uninitialized value
efbb418,us579,10 days ago,legit-branch rewind branch2 delete
9f23747,us579,10 days ago,legit-branch rewind
fbac677,us579,10 days ago,legit-branch rewind
29c52ee,us579,10 days ago,legit-checkout work
3a890ba,us579,10 days ago,debug legit branch
bd26579,us579,10 days ago,debug legit branch
d564d65,us579,10 days ago,debug legit branch
2a8c2e3,us579,10 days ago,debug legit checkout
10d3021,us579,10 days ago,finish legit checkout
3fcda96,us579,11 days ago,rename branck_inf to Head
98aa32a,us579,11 days ago,legit-branch add comments
adfed39,us579,11 days ago,legit-branch delete useless code
d3ceb99,us579,11 days ago,add legit-checkout
50d286d,us579,11 days ago,add commit inf to the branch inf
a731c8f,us579,11 days ago,add branch inf to legit-init for branch checkout
a58acbf,us579,11 days ago,add branch inf to legit-init for branch checkout
c13d950,us579,11 days ago,add legit-checkout
71085f6,us579,11 days ago,fix branch2 delete
fd31e59,us579,11 days ago,fix typo
61ffcc7,us579,11 days ago,fix bug clash syntax erro
993f16a,us579,11 days ago,fix bug clash syntax erro
5677a5e,us579,11 days ago,add three options 1. list all branch 2. delete specified branch 3. create new branch
a47d020,us579,12 days ago,add legit-branch input limitation
55c1c1f,us579,12 days ago,add legit-branch input limitation
b2d28af,us579,13 days ago,add legit-branch
f926774,us579,13 days ago,finish legit status
b43a618,us579,13 days ago,finish legit status
edf34cc,us579,13 days ago,finish legit status
77616f0,us579,13 days ago,fix legit-rm error: b in index is different to both working file and repository
4f71c7f,us579,13 days ago,fix legit-rm error: b in index is different to both working file and repository
0921d87,us579,13 days ago,commit
5eba443,us579,13 days ago,commit
774736d,us579,13 days ago,add status
4f37f88,us579,13 days ago,add status
5b149d4,us579,2 weeks ago,add status
ae75ae7,us579,2 weeks ago,modify legit-rm
fd09295,us579,2 weeks ago,modify legit-rm
