Hon Anthony Albanese MP: Member for Grayndler, New South Wales
Mr John Alexander OAM, MP: Member for Bennelong, New South Wales
Dr Anne Aly MP: Member for Cowan, Western Australia
Hon Karen Andrews MP: Member for McPherson, Queensland
Hon Kevin Andrews MP: Member for Menzies, Victoria
Mr Adam Bandt MP: Member for Melbourne, Victoria
Ms Julia Banks MP: Member for Chisholm, Victoria
Hon Sharon Bird MP: Member for Cunningham, New South Wales
Hon Chris Bowen MP: Member for McMahon, New South Wales
Mr Russell Broadbent MP: Member for McMillan, Victoria
Hon Scott Buchholz MP: Member for Wright, Queensland
Hon Tony Burke MP: Member for Watson, New South Wales
Hon Linda Burney MP: Member for Barton, New South Wales
Hon Mark Butler MP: Member for Port Adelaide, South Australia
Ms Terri Butler MP: Member for Griffith, Queensland
Hon Anthony Byrne MP: Member for Holt, Victoria
Dr Jim Chalmers MP: Member for Rankin, Queensland
Mr Nick Champion MP: Member for Wakefield, South Australia
Hon Darren Chester MP: Member for Gippsland, Victoria
Ms Lisa Chesters MP: Member for Bendigo, Victoria
Mr George Christensen MP: Member for Dawson, Queensland
Hon Jason Clare MP: Member for Blaxland, New South Wales
Ms Sharon Claydon MP: Member for Newcastle, New South Wales
Hon David Coleman MP: Member for Banks, New South Wales
Hon Julie Collins MP: Member for Franklin, Tasmania
Mr Pat Conroy MP: Member for Shortland, New South Wales
Hon Mark Coulton MP: Member for Parkes, New South Wales
Mr Chris Crewther MP: Member for Dunkley, Victoria
Mr Milton Dick MP: Member for Oxley, Queensland
Hon Mark Dreyfus QC, MP: Member for Isaacs, Victoria
Hon Damian Drum MP: Member for Murray, Victoria
Hon Peter Dutton MP: Member for Dickson, Queensland
Hon Justine Elliot MP: Member for Richmond, New South Wales
Hon Warren Entsch MP: Member for Leichhardt, Queensland
Hon Trevor Evans MP: Member for Brisbane, Queensland
Mr Jason Falinski MP: Member for Mackellar, New South Wales
Hon Joel Fitzgibbon MP: Member for Hunter, New South Wales
Hon Paul Fletcher MP: Member for Bradfield, New South Wales
Ms Nicolle Flint MP: Member for Boothby, South Australia
Dr Mike Freelander MP: Member for Macarthur, New South Wales
Hon Josh Frydenberg MP: Member for Kooyong, Victoria
Hon Andrew Gee MP: Member for Calare, New South Wales
Mr Steve Georganas MP: Member for Hindmarsh, South Australia
Mr Andrew Giles MP: Member for Scullin, Victoria
Hon Dr David Gillespie MP: Member for Lyne, New South Wales
Mr Ian Goodenough MP: Member for Moore, Western Australia
Mr Patrick Gorman MP: Member for Perth, Western Australia
Mr Luke Gosling OAM, MP: Member for Solomon, Northern Territory
Ms Celia Hammond MP: Member for Curtin, Western Australia
Mr Ross Hart MP: Member for Bass, Tasmania
Mr Andrew Hastie MP: Member for Canning, Western Australia
Hon Alex Hawke MP: Member for Mitchell, New South Wales
Mr Chris Hayes MP: Member for Fowler, New South Wales
Hon Sarah Henderson MP: Member for Corangamite, Victoria
Mr Julian Hill MP: Member for Bruce, Victoria
Mr Kevin Hogan MP: Member for Page, New South Wales
Hon Luke Howarth MP: Member for Petrie, Queensland
Hon Greg Hunt MP: Member for Flinders, Victoria
Hon Ed Husic MP: Member for Chifley, New South Wales
Hon Steve Irons MP: Member for Swan, Western Australia
Mr Stephen Jones MP: Member for Whitlam, New South Wales
Hon Barnaby Joyce MP: Member for New England, New South Wales
Hon Bob Katter MP: Member for Kennedy, Queensland
Ms Ged Kearney MP: Member for Batman, Victoria
Mr Craig Kelly MP: Member for Hughes, New South Wales
Hon Dr Mike Kelly AM, MP: Member for Eden-Monaro, New South Wales
Mr Matt Keogh MP: Member for Burt, Western Australia
